OBJECTID,CDSCode,Status,Charter,Ed_Type,Level,Pb_Prv_BIE,School,District,County,Street,City,State,Zip,Lat,Long,Stacked,Stack_cnt,Source,CDS_uniq,GradesOffered,GradesServed
1,1.97687E+13,Active,No,Traditional,Elementary,Public,138th Street,Wiseburn Unified,Los Angeles,5403 West 138th Street,Hawthorne,CA,90250-6431,33.908583,-118.376468,Yes,3,Los Angeles CO Parcels,1.97687E+13,5-Mar,5-Mar
2,1.97687E+13,Active,Yes,Traditional,High School,Public,Da Vinci Science,Wiseburn Unified,Los Angeles,201 N. Douglas Street,El Segundo,CA,90245-4637,33.918876,-118.384333,Yes,2,Los Angeles CO Parcels 2020,1.97687E+13,12-Sep,12-Sep
3,1.97687E+13,Active,Yes,Traditional,High School,Public,Da Vinci Design,Wiseburn Unified,Los Angeles,12501 Isis Avenue,Hawthorne,CA,90250-4149,33.919227,-118.375501,Yes,2,Los Angeles CO Parcels 2020,1.97687E+13,12-Sep,12-Sep
4,1.97687E+13,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Da Vinci Connect,Wiseburn Unified,Los Angeles,12501 Isis Avenue,Hawthorne,CA,90250-6462,33.919231,-118.375507,Yes,2,Los Angeles CO Parcels 2020,1.97687E+13,K-12,K-8
5,1.97687E+13,Active,No,Traditional,Elementary,Public,Juan De Anza Elementary,Wiseburn Unified,Los Angeles,12110 Hindry Avenue,Hawthorne,CA,90250-3403,33.922632,-118.371115,No,1,Los Angeles CO Parcels,1.97687E+13,K-5,K-5
6,1.97687E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Richard Henry Dana Middle,Wiseburn Unified,Los Angeles,5504 West 135th Street,Hawthorne,CA,90250-6462,33.908583,-118.376468,Yes,3,Los Angeles CO Parcels,1.97687E+13,8-Jun,8-Jun
7,1.97687E+13,Active,No,Traditional,Elementary,Public,Juan Cabrillo Elementary,Wiseburn Unified,Los Angeles,5309 West 135th Street,Hawthorne,CA,90250-4948,33.910364,-118.372756,No,1,Los Angeles CO Parcels,1.97687E+13,K-2,K-2
8,1.96473E+13,Active,Yes,Traditional,Intermediate/Middle/Junior High,Public,PREPA TEC - Los Angeles,Los Angeles Unified,Los Angeles,2665 Clarendon Avenue,Huntington Park,CA,90255-4138,33.983954,-118.223502,No,1,Los Angeles CO Parcels 2009,1.96473E+13,8-Jun,8-Jun
9,3.77685E+13,Active,No,Traditional,Elementary,Public,Bonsall Elementary,Bonsall Unified,San Diego,31555 Old River Road,Bonsall,CA,92003-5112,33.286702,-117.219297,No,1,San Diego CO Parcels,3.77685E+13,K-5,K-5
10,3.77685E+13,Active,No,Traditional,Elementary,Public,Bonsall West Elementary,Bonsall Unified,San Diego,5050 El Mirlo Drive,Oceanside,CA,92057-2704,33.264164,-117.292328,No,1,San Diego CO Parcels,3.77685E+13,K-6,K-6
11,3.77685E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Norman L. Sullivan Middle,Bonsall Unified,San Diego,7350 West Lilac Road,Bonsall,CA,92003-5112,33.297312,-117.175131,Yes,2,Norman L. Sullivan Middle,3.77685E+13,8-Jun,8-Jun
12,3.66765E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Cucamonga Middle,Central Elementary,San Bernardino,7611 Hellman Avenue,Rancho Cucamonga,CA,91730-2204,34.115973,-117.600902,No,1,San Bernardino CO Parcels,3.66765E+13,8-Jun,8-Jun
13,2.97688E+13,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Ready Springs Elementary,Penn Valley Union Elementary,Nevada,10862 Spenceville Road,Penn Valley,CA,95946-9625,39.195109,-121.181345,Yes,2,Nevada CO Parcels,2.97688E+13,K-8,K-8
14,2.97688E+13,Active,Yes,Traditional,Elementary - High Combination,Public,Vantage Point Charter,Penn Valley Union Elementary,Nevada,10862 Spenceville Road,Penn Valley,CA,95946-9625,39.195109,-121.181345,Yes,2,Nevada CO Parcels,2.97688E+13,K-12,12-Feb
15,2.97688E+13,Active,No,Traditional,Elementary,Public,Williams Ranch Elementary,Penn Valley Union Elementary,Nevada,14804 Pleasant Valley Road,Penn Valley,CA,95946-9722,39.255862,-121.199427,No,1,Nevada CO Parcels,2.97688E+13,K-5,K-5
16,5.07118E+13,Active,Yes,Traditional,Intermediate/Middle/Junior High - High Combination,Public,Aspire Vanguard College Preparatory Academy,Modesto City High,Stanislaus,819 Sunset Avenue,Modesto,CA,95351-3756,37.640782,-120.897819,Yes,3,Stanislaus CO Parcels 2009,5.07118E+13,12-Jun,12-Jun
17,4.87053E+13,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Dixon Montessori Charter,Dixon Unified,Solano,355 North Almond Street,Dixon,CA,95620-2702,38.448414,-121.834108,Yes,2,Solano CO Parcels 2010; Pilot project shp,4.87053E+13,K-8,K-8
18,4.97085E+13,Active,Yes,Traditional,Elementary,Public,River Montessori Elementary Charter,Old Adobe Union,Sonoma,3880 Cypress Drive Suite B,Petaluma,CA,94954-5613,38.226149,-122.586651,No,1,Sonoma CO Parcels 2012; Internet research,4.97085E+13,K-6,K-6
19,2.11022E+13,Active,No,County Community School,Intermediate/Middle/Junior High - High Combination,Public,Marin's Community,Marin County Office of Education,Marin,1111 Las Gallinas Avenue,San Rafael,CA,94903-1843,37.99897,-122.524691,No,1,Marin CO Parcels 2010,2.11022E+13,12-Jul,12-Jul
20,2.11022E+13,Active,Yes,County Community School,Intermediate/Middle/Junior High - High Combination,Public,Phoenix Academy,Marin County Office of Education,Marin,1111 Las Gallinas Avenue,San Rafael,CA,94903-1843,37.998921,-122.523811,No,1,Marin CO Parcels 2010,2.11022E+13,12-Jul,12-Aug
21,2.11022E+13,Active,No,Special Education School,Elementary - High Combination,Public,Marin County Special Education,Marin County Office of Education,Marin,1111 Las Gallinas Avenue,San Rafael,CA,94903-1843,38.014004,-122.550689,Yes,2,Marin CO Parcels 2010,2.11022E+13,P-12,K-12
22,2.1653E+13,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Bolinas-Stinson Elementary,Bolinas-Stinson Union,Marin,125 Olema-Bolinas Road,Bolinas,CA,94924-9747,37.917282,-122.693398,No,1,Marin CO Parcels 2010,2.1653E+13,K-8,K-8
23,2.16532E+13,Active,No,Traditional,Elementary,Public,Lucas Valley Elementary,Miller Creek Elementary,Marin,1175 Idylberry Drive,San Rafael,CA,94903-1131,38.029098,-122.574319,No,1,Marin CO Parcels 2010,2.16532E+13,K-5,K-5
24,2.16532E+13,Active,No,Traditional,Elementary,Public,Mary E. Silveira Elementary,Miller Creek Elementary,Marin,375 Blackstone Drive,San Rafael,CA,94903-1401,38.037334,-122.543643,No,1,Marin CO Parcels 2010,2.16532E+13,K-5,K-5
25,2.16532E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Miller Creek Middle,Miller Creek Elementary,Marin,2255 Las Gallinas Avenue,San Rafael,CA,94903-1699,38.030042,-122.548096,No,1,Marin CO Parcels 2010,2.16532E+13,8-Jun,8-Jun
26,2.16532E+13,Active,No,Traditional,Elementary,Public,Vallecito Elementary,Miller Creek Elementary,Marin,50 Nova Albion Way,San Rafael,CA,94903-3556,38.006377,-122.553185,No,1,Marin CO Parcels 2010,2.16532E+13,K-5,K-5
27,2.16533E+13,Active,No,Traditional,Elementary,Public,Anthony G. Bacich Elementary,Kentfield Elementary,Marin,699 Sir Francis Drake Boulevard,Kentfield,CA,94904-1639,37.95208,-122.539193,No,1,Marin CO Parcels 2010,2.16533E+13,K-4,K-4
28,2.16533E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Adaline E. Kent Middle,Kentfield Elementary,Marin,800 College Avenue,Kentfield,CA,94904-2549,37.953078,-122.547398,No,1,Marin CO Parcels 2010,2.16533E+13,8-May,8-May
29,2.16534E+13,Active,No,Traditional,Elementary,Public,Laguna Elementary,Laguna Joint Elementary,Marin,2657 Chileno Valley Road,Petaluma,CA,94952-9428,38.19946,-122.715552,No,1,Marin CO Parcels 2010,2.16534E+13,K-6,5-Jan
30,2.16536E+13,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Lagunitas Elementary,Lagunitas Elementary,Marin,One Lagunitas School Road,San Geronimo,CA,94963-0308,38.017267,-122.673911,Yes,2,Marin CO Parcels 2010,2.16536E+13,K-8,K-8
31,2.16536E+13,Active,No,Traditional,Elementary,Public,San Geronimo Valley Elementary,Lagunitas Elementary,Marin,One Lagunitas School Road,San Geronimo,CA,94963-0308,38.017267,-122.673911,Yes,2,Marin CO Parcels 2010,2.16536E+13,K-6,K-6
32,2.16537E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Hall Middle,Larkspur-Corte Madera,Marin,200 Doherty Drive,Larkspur,CA,94939-1532,37.939277,-122.531678,No,1,Marin CO Parcels 2010,2.16537E+13,8-Jun,8-Jun
33,2.16537E+13,Active,No,Traditional,Elementary,Public,Neil Cummins Elementary,Larkspur-Corte Madera,Marin,58 Mohawk Avenue,Corte Madera,CA,94925-1033,37.927365,-122.52428,No,1,Marin CO Parcels 2010,2.16537E+13,K-5,K-5
34,2.16538E+13,Active,No,Traditional,Elementary,Public,Lincoln Union Elementary,Lincoln Elementary,Marin,1300 Hicks Valley Road,Petaluma,CA,94952-9407,38.151921,-122.710583,No,1,Marin CO Parcels 2010,2.16538E+13,K-6,K-5
35,2.16539E+13,Active,No,Traditional,Elementary,Public,Edna Maguire Elementary,Mill Valley Elementary,Marin,80 Lomita Drive,Mill Valley,CA,94941-1464,37.908001,-122.523245,No,1,Marin CO Parcels 2010,2.16539E+13,K-5,K-5
36,2.16539E+13,Active,No,Traditional,Elementary,Public,Old Mill Elementary,Mill Valley Elementary,Marin,352 Throckmorton Avenue,Mill Valley,CA,94941-2640,37.906121,-122.552935,No,1,Marin CO Parcels 2010,2.16539E+13,K-5,K-5
37,2.16539E+13,Active,No,Traditional,Elementary,Public,Park Elementary,Mill Valley Elementary,Marin,360 East Blithedale Avenue,Mill Valley,CA,94941-2140,37.903408,-122.537487,No,1,Marin CO Parcels 2010,2.16539E+13,P-5,K-5
38,2.16539E+13,Active,No,Traditional,Elementary,Public,Strawberry Point Elementary,Mill Valley Elementary,Marin,117 East Strawberry Drive,Mill Valley,CA,94941-2576,37.896575,-122.503984,No,1,Marin CO Parcels 2010,2.16539E+13,K-5,K-5
39,2.16539E+13,Active,No,Traditional,Elementary,Public,Tamalpais Valley Elementary,Mill Valley Elementary,Marin,350 Bell Lane,Mill Valley,CA,94941-4038,37.874082,-122.527564,No,1,Marin CO Parcels 2010,2.16539E+13,K-5,K-5
40,2.16539E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Mill Valley Middle,Mill Valley Elementary,Marin,425 Sycamore Avenue,Mill Valley,CA,94941-2231,37.898045,-122.528024,No,1,Marin CO Parcels 2010,2.16539E+13,8-Jun,8-Jun
41,2.16541E+13,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Nicasio,Nicasio,Marin,5555 Nicasio Valley Road,Nicasio,CA,94946,38.069154,-122.704384,No,1,Marin CO Parcels 2010,2.16541E+13,K-8,K-8
42,2.16542E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,San Jose Intermediate,Novato Unified,Marin,1000 Sunset Parkway,Novato,CA,94949-4999,38.076498,-122.57031,No,1,Marin CO Parcels 2010,2.16542E+13,8-Jun,8-Jun
43,2.16542E+13,Active,No,Alternative School of Choice,Elementary - High Combination,Public,Nova Education Center,Novato Unified,Marin,720 Diablo Boulevard,Novato,CA,94947-4004,38.097794,-122.576175,Yes,2,Marin CO Parcels 2010,2.16542E+13,K-12,12-Apr
44,2.16542E+13,Active,No,Continuation School,High School,Public,Marin Oaks High,Novato Unified,Marin,720 Diablo Avenue,Novato,CA,94947-4004,38.097794,-122.576175,Yes,2,Marin CO Parcels 2010,2.16542E+13,12-Sep,12-Oct
45,2.16542E+13,Active,No,Traditional,High School,Public,Novato High,Novato Unified,Marin,625 Arthur Street,Novato,CA,94947-4499,38.08911,-122.573047,No,1,Marin CO Parcels 2010,2.16542E+13,12-Sep,12-Sep
46,2.16542E+13,Active,No,Traditional,High School,Public,San Marin High,Novato Unified,Marin,15 San Marin Drive,Novato,CA,94945-1117,38.120427,-122.610811,No,1,Marin CO Parcels 2010,2.16542E+13,12-Sep,12-Sep
47,2.16542E+13,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Hamilton Meadow Park,Novato Unified,Marin,5530 Nave Drive,Novato,CA,94949-6435,38.054018,-122.529251,No,1,Marin CO Parcels 2010,2.16542E+13,K-8,K-8
48,2.16542E+13,Active,No,Traditional,Elementary,Public,Loma Verde Elementary,Novato Unified,Marin,399 Alameda de La Loma,Novato,CA,94949-5935,38.064577,-122.547265,No,1,Marin CO Parcels 2010,2.16542E+13,K-5,K-5
49,2.16542E+13,Active,No,Traditional,Elementary,Public,Lu Sutton Elementary,Novato Unified,Marin,1800 Center Road,Novato,CA,94947-2975,38.106208,-122.585464,No,1,Marin CO Parcels 2010,2.16542E+13,K-5,K-5
50,2.16542E+13,Active,No,Traditional,Elementary,Public,Lynwood Elementary,Novato Unified,Marin,1320 Lynwood Drive,Novato,CA,94947-4629,38.087081,-122.562342,No,1,Marin CO Parcels 2010,2.16542E+13,K-5,K-5
51,2.16542E+13,Active,No,Traditional,Elementary,Public,Olive Elementary,Novato Unified,Marin,629 Plum Street,Novato,CA,94945-2578,38.109254,-122.556291,No,1,Marin CO Parcels 2010,2.16542E+13,K-5,K-5
52,2.16542E+13,Active,No,Traditional,Elementary,Public,Pleasant Valley Elementary,Novato Unified,Marin,755 Sutro Avenue,Novato,CA,94947-1937,38.108373,-122.614293,No,1,Marin CO Parcels 2010,2.16542E+13,K-5,K-5
53,2.16542E+13,Active,No,Traditional,Elementary,Public,Rancho Elementary,Novato Unified,Marin,1430 Johnson Street,Novato,CA,94947-4459,38.095048,-122.571154,No,1,Marin CO Parcels 2010,2.16542E+13,K-5,K-5
54,2.16542E+13,Active,No,Traditional,Elementary,Public,San Ramon Elementary,Novato Unified,Marin,45 San Ramon Way,Novato,CA,94945-1616,38.119343,-122.60535,No,1,Marin CO Parcels 2010,2.16542E+13,K-5,K-5
55,2.16542E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Sinaloa Middle,Novato Unified,Marin,2045 Vineyard Road,Novato,CA,94947-3810,38.104485,-122.597995,No,1,Marin CO Parcels 2010,2.16542E+13,8-Jun,8-Jun
56,2.16542E+13,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Novato Charter,Novato Unified,Marin,940 C Street,Novato,CA,94949-5060,38.056047,-122.524847,No,1,Marin CO Parcels 2010,2.16542E+13,K-8,K-8
57,2.16543E+13,Active,No,Traditional,Elementary,Public,Bel Aire Elementary,Reed Union Elementary,Marin,277 Karen Way,Tiburon,CA,94920-2044,37.903175,-122.496561,No,1,Marin CO Parcels 2010,2.16543E+13,5-Mar,5-Mar
58,2.16543E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Del Mar Middle,Reed Union Elementary,Marin,105 Avenida Miraflores,Tiburon,CA,94920-1414,37.893599,-122.482058,No,1,Marin CO Parcels 2010,2.16543E+13,8-Jun,8-Jun
59,2.16543E+13,Active,No,Traditional,Elementary,Public,Reed Elementary,Reed Union Elementary,Marin,1199 Tiburon Boulevard,Tiburon,CA,94920-1550,37.881825,-122.46458,No,1,Marin CO Parcels 2010,2.16543E+13,K-2,K-2
60,2.16543E+13,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Ross Elementary,Ross Elementary,Marin,9 Lagunitas Road,Ross,CA,94957-9661,37.96116,-122.557167,No,1,Marin CO Parcels 2010,2.16543E+13,K-8,K-8
61,2.16546E+13,Active,No,Traditional,Elementary,Public,Bahia Vista Elementary,San Rafael City Elementary,Marin,125 Bahia Way,San Rafael,CA,94901-4502,37.965897,-122.497731,No,1,Marin CO Parcels 2010,2.16546E+13,K-5,K-5
62,2.16546E+13,Active,No,Traditional,Elementary,Public,Coleman Elementary,San Rafael City Elementary,Marin,800 Belle Avenue,San Rafael,CA,94901-2227,37.978039,-122.519079,No,1,Marin CO Parcels 2010,2.16546E+13,K-5,K-5
63,2.16546E+13,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Venetia Valley K-8,San Rafael City Elementary,Marin,177 North San Pedro Road,San Rafael,CA,94903-4200,38.001216,-122.524957,No,1,Marin CO Parcels 2010,2.16546E+13,K-8,K-8
64,2.16546E+13,Active,No,Traditional,Elementary,Public,Glenwood Elementary,San Rafael City Elementary,Marin,25 Castlewood Drive,San Rafael,CA,94901-2524,37.981944,-122.478161,No,1,Marin CO Parcels 2010,2.16546E+13,K-5,K-5
65,2.16546E+13,Active,No,Traditional,Elementary,Public,Laurel Dell Elementary,San Rafael City Elementary,Marin,225 Woodland Avenue,San Rafael,CA,94901-6017,37.963828,-122.525959,No,1,Marin CO Parcels 2010,2.16546E+13,K-5,K-5
66,2.16546E+13,Active,No,Traditional,Elementary,Public,San Pedro Elementary,San Rafael City Elementary,Marin,498 Point San Pedro Road,San Rafael,CA,94901-2457,37.974101,-122.489449,No,1,Marin CO Parcels 2010,2.16546E+13,K-5,K-5
67,2.16546E+13,Active,No,Traditional,Elementary,Public,Sun Valley Elementary,San Rafael City Elementary,Marin,75 Happy Lane,San Rafael,CA,94901-1020,37.985223,-122.551375,No,1,Marin CO Parcels 2010,2.16546E+13,K-5,K-5
68,2.16546E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,James B. Davidson Middle,San Rafael City Elementary,Marin,280 Woodland Avenue,San Rafael,CA,94901-5046,37.965729,-122.524976,No,1,Marin CO Parcels 2010,2.16546E+13,8-Jun,8-Jun
69,2.16547E+13,Active,No,Continuation School,High School,Public,Madrone High Continuation,San Rafael City High,Marin,185 Mission Avenue,San Rafael,CA,94901-5632,37.970209,-122.512511,Yes,2,Marin CO Parcels 2010,2.16547E+13,12-Sep,12-Nov
70,2.16547E+13,Active,No,Traditional,High School,Public,San Rafael High,San Rafael City High,Marin,150 Third Street,San Rafael,CA,94901-5632,37.970209,-122.512511,Yes,2,Marin CO Parcels 2010,2.16547E+13,12-Sep,12-Sep
71,2.16547E+13,Active,No,Traditional,High School,Public,Terra Linda High,San Rafael City High,Marin,320 Nova Albion Way,San Rafael,CA,94903-3523,37.998428,-122.552058,No,1,Marin CO Parcels 2010,2.16547E+13,12-Sep,12-Sep
72,2.16547E+13,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Bayside Martin Luther King Jr. Academy,Sausalito Marin City,Marin,200 Phillips Drive,Sausalito,CA,94965-1194,37.871884,-122.513018,No,1,Marin CO Parcels 2010,2.16547E+13,K-8,K-8
73,2.16547E+13,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Willow Creek Academy Charter,Sausalito Marin City,Marin,636 Nevada Street,Sausalito,CA,94965-1654,37.863532,-122.502896,No,1,Marin CO Parcels 2010,2.16547E+13,K-8,K-8
74,2.16548E+13,Active,No,Traditional,High School,Public,Sir Francis Drake High,Tamalpais Union High,Marin,1327 Sir Francis Drake Boulevard,San Anselmo,CA,94960-1800,37.983162,-122.573017,No,1,Marin CO Parcels 2010,2.16548E+13,12-Sep,12-Sep
75,2.16548E+13,Active,No,Traditional,High School,Public,Tamalpais High,Tamalpais Union High,Marin,700 Miller Avenue,Mill Valley,CA,94941-2926,37.891612,-122.529903,No,1,Marin CO Parcels 2010,2.16548E+13,12-Sep,12-Sep
76,2.17336E+13,Active,No,Traditional,High School,Public,Tomales High,Shoreline Unified,Marin,3850 Irvin Lane,Tomales,CA,94971-0198,38.246991,-122.895266,No,1,Marin CO Parcels 2010,2.17336E+13,12-Sep,12-Sep
77,2.17336E+13,Active,No,Traditional,Elementary,Public,Inverness Elementary,Shoreline Unified,Marin,BayView and Mesa,Inverness,CA,94937,38.098356,-122.8556,No,1,Marin CO Parcels 2010,2.17336E+13,K-1,K-1
78,2.17336E+13,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,West Marin Elementary,Shoreline Unified,Marin,11550 Highway 1,Point Reyes Station,CA,94956-0300,38.070141,-122.803134,No,1,Marin CO Parcels 2010,2.17336E+13,8-Feb,8-Feb
79,2.17336E+13,Active,No,Traditional,Elementary,Public,Bodega Bay Elementary,Shoreline Unified,Sonoma,1200 Canon Street,Bodega Bay,CA,94923,38.334391,-123.044552,No,1,Sonoma CO Parcels 2012; Internet research,2.17336E+13,P-5,K-5
80,2.17466E+13,Active,No,Regional Occupational Center/Program,High School,Public,Marin County ROP,Marin County ROP,Marin,1111 Las Gallinas Avenue,San Rafael,CA,94913-1843,38.014004,-122.550689,Yes,2,Marin CO Parcels 2010,2.17466E+13,12-Sep,No Data
81,2.175E+13,Active,No,Traditional,Elementary,Public,Hidden Valley Elementary,Ross Valley Elementary,Marin,46 Green Valley Court,San Anselmo,CA,94960-1112,38.005747,-122.573752,No,1,Marin CO Parcels 2010,2.175E+13,K-5,K-5
82,2.175E+13,Active,No,Traditional,Elementary,Public,Manor Elementary,Ross Valley Elementary,Marin,150 Oak Manor Drive,Fairfax,CA,94930-1013,37.996482,-122.594307,No,1,Marin CO Parcels 2010,2.175E+13,K-5,K-5
83,2.175E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,White Hill Middle,Ross Valley Elementary,Marin,101 Glen Drive,Fairfax,CA,94930-1338,38.002929,-122.606233,No,1,Marin CO Parcels 2010,2.175E+13,8-Jun,8-Jun
84,2.175E+13,Active,No,Traditional,Elementary,Public,Brookside Elementary,Ross Valley Elementary,Marin,116 Butterfield Road,San Anselmo,CA,94960-1562,37.990849,-122.575139,No,1,Marin CO Parcels 2010,2.175E+13,K-5,K-5
85,2.175E+13,Active,No,Traditional,Elementary,Public,Wade Thomas Elementary,Ross Valley Elementary,Marin,150 Ross Avenue,San Anselmo,CA,94960-2941,37.971374,-122.567409,No,1,Marin CO Parcels 2010,2.175E+13,K-5,K-5
86,2.11022E+13,Active,No,Juvenile Court School,Intermediate/Middle/Junior High - High Combination,Public,Marin County Juvenile Court,Marin County Office of Education,Marin,16 Jeannette Prandi Way,San Rafael,CA,94903-1843,38.174189,-122.825191,No,1,Marin CO Parcels 2010,2.11022E+13,12-Jul,12-Aug
87,1.96473E+13,Active,Yes,Traditional,Elementary,Public,Wilbur Charter For Enriched Academics,Los Angeles Unified,Los Angeles,5213 Crebs Avenue,Tarzana,CA,91356-4010,34.164432,-118.544704,No,1,Los Angeles CO Land Type 2011,1.96473E+13,K-5,K-5
88,1.96473E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,"Washington Irving Middle School Math, Music and Engineering Magnet",Los Angeles Unified,Los Angeles,3010 Estara Avenue,Los Angeles,CA,90065-2205,34.116477,-118.241444,Yes,2,Los Angeles CO Land Type 2011,1.96473E+13,8-Jun,8-Jun
89,1.96473E+13,Active,Yes,Traditional,Elementary,Public,Serrania Avenue Charter For Enriched Studies,Los Angeles Unified,Los Angeles,5014 Serrania Avenue,Woodland Hills,CA,91364-3303,34.160522,-118.587346,No,1,Los Angeles CO Land Type 2011,1.96473E+13,K-5,K-5
90,1.96473E+13,Active,Yes,Traditional,Elementary,Public,Fenton Avenue Charter,Los Angeles Unified,Los Angeles,11828 Gain Street,Lake View Terrace,CA,91342-7132,34.279929,-118.390395,Yes,2,Los Angeles CO Land Type 2011,1.96473E+13,5-Mar,5-Mar
91,1.96473E+13,Active,Yes,Traditional,Elementary,Public,Topanga Elementary Charter,Los Angeles Unified,Los Angeles,22075 Topanga School Road,Topanga,CA,90290-3835,34.092812,-118.60484,No,1,Los Angeles CO Land Type 2011,1.96473E+13,K-5,K-5
92,1.96473E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Palms Middle,Los Angeles Unified,Los Angeles,10860 Woodbine Street,Los Angeles,CA,90034-5416,34.021443,-118.414701,No,1,Los Angeles CO Land Type 2011,1.96473E+13,8-Jun,8-Jun
93,1.96473E+13,Active,No,Traditional,Elementary,Public,Fishburn Avenue Elementary,Los Angeles Unified,Los Angeles,5701 Fishburn Avenue,Maywood,CA,90270-2819,33.989165,-118.190907,No,1,Los Angeles CO Land Type 2011,1.96473E+13,K-5,K-5
94,1.96473E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Edwin Markham Middle,Los Angeles Unified,Los Angeles,1650 East 104th Street,Los Angeles,CA,90002-3606,33.9397,-118.244982,Yes,2,Los Angeles CO Land Type 2011,1.96473E+13,8-Jun,8-Jun
95,1.96473E+13,Active,No,Traditional,Elementary,Public,Seventy-Fourth Street Elementary,Los Angeles Unified,Los Angeles,2112 West 74th Street,Los Angeles,CA,90047-2118,33.972323,-118.31664,No,1,Los Angeles CO Land Type 2011,1.96473E+13,K-5,K-5
96,1.96473E+13,Active,No,Traditional,Elementary,Public,Saturn Street Elementary,Los Angeles Unified,Los Angeles,5360 Saturn Street,Los Angeles,CA,90019-3960,34.046187,-118.356432,No,1,Los Angeles CO Land Type 2011,1.96473E+13,K-5,K-5
97,1.96473E+13,Active,Yes,Traditional,Elementary,Public,Van Gogh Charter,Los Angeles Unified,Los Angeles,17160 Van Gogh Street,Granada Hills,CA,91344-1217,34.304829,-118.505825,No,1,Los Angeles CO Land Type 2011,1.96473E+13,K-5,K-5
98,1.96473E+13,Active,Yes,Traditional,Intermediate/Middle/Junior High,Public,Robert A. Millikan Affiliated Charter & Performing Arts Magnet Middle,Los Angeles Unified,Los Angeles,5041 Sunnyslope Avenue,Sherman Oaks,CA,91423-1445,34.163516,-118.428489,No,1,Los Angeles CO Land Type 2011,1.96473E+13,8-Jun,8-Jun
99,1.96473E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Francisco Sepulveda Middle,Los Angeles Unified,Los Angeles,15330 Plummer Street,North Hills,CA,91343-2228,34.241019,-118.465946,Yes,2,Los Angeles CO Land Type 2011,1.96473E+13,8-Jun,8-Jun
100,1.96473E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Van Nuys Middle,Los Angeles Unified,Los Angeles,5435 Vesper Avenue,Van Nuys,CA,91411-3738,34.168922,-118.451976,Yes,2,Los Angeles CO Land Type 2011,1.96473E+13,8-Jun,8-Jun
101,1.96473E+13,Active,No,Traditional,Elementary,Public,Vena Avenue Elementary,Los Angeles Unified,Los Angeles,9377 Vena Avenue,Arleta,CA,91331-4733,34.239828,-118.420747,No,1,Los Angeles CO Land Type 2011,1.96473E+13,K-5,K-5
102,1.96473E+13,Active,Yes,Traditional,Intermediate/Middle/Junior High,Public,Alfred B. Nobel Charter Middle,Los Angeles Unified,Los Angeles,9950 Tampa Avenue,Northridge,CA,91324-1142,34.251085,-118.551358,No,1,Los Angeles CO Land Type 2011,1.96473E+13,8-Jun,8-Jun
103,1.96473E+13,Active,Yes,Traditional,Elementary,Public,Sherman Oaks Elementary Charter,Los Angeles Unified,Los Angeles,14755 Greenleaf Street,Sherman Oaks,CA,91403-4127,34.149979,-118.455018,No,1,Los Angeles CO Land Type 2011,1.96473E+13,K-5,K-5
104,1.96473E+13,Active,No,Traditional,Elementary,Public,Sierra Park Elementary,Los Angeles Unified,Los Angeles,3170 Budau Avenue,Los Angeles,CA,90032-2856,34.082078,-118.168905,No,1,Los Angeles CO Land Type 2011,1.96473E+13,K-6,K-6
105,1.96473E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Pio Pico Middle,Los Angeles Unified,Los Angeles,1512 South Arlington Avenue,Los Angeles,CA,90019-4552,34.045857,-118.316935,No,1,Los Angeles CO Land Type 2011,1.96473E+13,8-Jun,8-Jun
